Specimen properties : Specimen label,"GAI2S1R2"
Specimen properties : Anvil height,"5.90000",mm
Specimen properties : Diameter,"5.46000",mm
Test : Rate 1,"2.40000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00063","0.02075","0.00089","0.00000","0.00000","0.00063","0.00011"
"0.00063","0.02130","0.00091","0.01000","0.00000","0.00063","0.00011"
"0.00063","0.02113","0.00090","0.02000","0.00000","0.00063","0.00011"
"0.00063","0.01919","0.00082","0.03000","0.00000","0.00063","0.00011"
"0.00063","0.01877","0.00080","0.04000","0.00000","0.00063","0.00011"
"0.00063","0.01772","0.00076","0.05000","0.00000","0.00063","0.00011"
"0.00063","0.01707","0.00073","0.06000","0.00000","0.00063","0.00011"
"0.00063","0.01471","0.00063","0.07000","0.00000","0.00063","0.00011"
"0.00063","0.01500","0.00064","0.08000","0.00000","0.00063","0.00011"
"0.00083","0.01857","0.00079","0.09000","0.00000","0.00083","0.00014"
"0.00104","0.02297","0.00098","0.10000","0.00000","0.00104","0.00018"
"0.00104","0.03153","0.00135","0.11000","0.00000","0.00104","0.00018"
"0.00125","0.03996","0.00171","0.12000","0.00000","0.00125","0.00021"
"0.00146","0.04684","0.00200","0.13000","0.00000","0.00146","0.00025"
"0.00167","0.05314","0.00227","0.14000","0.00000","0.00167","0.00028"
"0.00167","0.06536","0.00279","0.15000","0.00000","0.00167","0.00028"
"0.00188","0.07862","0.00336","0.16000","0.00000","0.00188","0.00032"
"0.00208","0.08999","0.00384","0.17000","0.00000","0.00208","0.00035"
"0.00229","0.09781","0.00418","0.18000","0.00000","0.00229","0.00039"
"0.00250","0.11149","0.00476","0.19000","0.00000","0.00250","0.00042"
"0.00271","0.12742","0.00544","0.20000","0.00000","0.00271","0.00046"
"0.00292","0.14417","0.00616","0.21000","0.00000","0.00292","0.00049"
"0.00313","0.15827","0.00676","0.22000","0.00000","0.00313","0.00053"
"0.00354","0.17431","0.00744","0.23000","0.00000","0.00354","0.00060"
"0.00375","0.19630","0.00838","0.24000","0.00000","0.00375","0.00064"
"0.00417","0.21809","0.00931","0.25000","0.00000","0.00417","0.00071"
"0.00458","0.24031","0.01026","0.26000","0.00000","0.00458","0.00078"
"0.00479","0.26402","0.01128","0.27000","0.00000","0.00479","0.00081"
"0.00521","0.28680","0.01225","0.28000","0.00000","0.00521","0.00088"
"0.00563","0.31069","0.01327","0.29000","0.00000","0.00563","0.00095"
"0.00604","0.33516","0.01431","0.30000","0.00000","0.00604","0.00102"
"0.00646","0.36218","0.01547","0.31000","0.00000","0.00646","0.00109"
"0.00687","0.39023","0.01667","0.32000","0.00000","0.00687","0.00117"
"0.00750","0.41682","0.01780","0.33000","0.00000","0.00750","0.00127"
"0.00792","0.44788","0.01913","0.34000","0.00000","0.00792","0.00134"
"0.00833","0.47949","0.02048","0.35000","0.00000","0.00833","0.00141"
"0.00896","0.51270","0.02190","0.36000","0.00000","0.00896","0.00152"
"0.00958","0.54859","0.02343","0.37000","0.00000","0.00958","0.00162"
"0.01021","0.58768","0.02510","0.38000","0.00000","0.01021","0.00173"
"0.01083","0.62719","0.02679","0.39000","0.00000","0.01083","0.00184"
"0.01146","0.66241","0.02829","0.40000","0.00000","0.01146","0.00194"
"0.01208","0.69694","0.02977","0.41000","0.00000","0.01208","0.00205"
"0.01271","0.73520","0.03140","0.42000","0.00000","0.01271","0.00215"
"0.01333","0.77288","0.03301","0.43000","0.00000","0.01333","0.00226"
"0.01396","0.81113","0.03464","0.44000","0.00000","0.01396","0.00237"
"0.01458","0.85007","0.03631","0.45000","0.00000","0.01458","0.00247"
"0.01521","0.88902","0.03797","0.46000","0.00000","0.01521","0.00258"
"0.01583","0.92565","0.03953","0.47000","0.00000","0.01583","0.00268"
"0.01646","0.95991","0.04100","0.48000","0.00000","0.01646","0.00279"
"0.01688","0.99222","0.04238","0.49000","0.00000","0.01688","0.00286"
"0.01750","1.02288","0.04369","0.50000","0.00000","0.01750","0.00297"
"0.01813","1.05173","0.04492","0.51000","0.00000","0.01813","0.00307"
"0.01875","1.08031","0.04614","0.52000","0.00000","0.01875","0.00318"
"0.01917","1.10761","0.04731","0.53000","0.00000","0.01917","0.00325"
"0.01979","1.13095","0.04830","0.54000","0.00000","0.01979","0.00335"
"0.02021","1.15379","0.04928","0.55000","0.00000","0.02021","0.00343"
"0.02083","1.17625","0.05024","0.56000","0.00000","0.02083","0.00353"
"0.02125","1.19969","0.05124","0.57000","0.00000","0.02125","0.00360"
"0.02188","1.22285","0.05223","0.58000","0.00000","0.02188","0.00371"
"0.02229","1.24442","0.05315","0.59000","0.00000","0.02229","0.00378"
"0.02292","1.26652","0.05409","0.60000","0.00000","0.02292","0.00388"
"0.02333","1.28678","0.05496","0.61000","0.00000","0.02333","0.00395"
"0.02375","1.30584","0.05577","0.62000","0.00000","0.02375","0.00403"
"0.02438","1.32436","0.05656","0.63000","0.00000","0.02438","0.00413"
"0.02479","1.34427","0.05741","0.64000","0.00000","0.02479","0.00420"
"0.02521","1.36508","0.05830","0.65000","0.00000","0.02521","0.00427"
"0.02583","1.38419","0.05912","0.66000","0.00000","0.02583","0.00438"
"0.02625","1.40338","0.05994","0.67000","0.00000","0.02625","0.00445"
"0.02667","1.42292","0.06077","0.68000","0.00000","0.02667","0.00452"
"0.02708","1.44430","0.06169","0.69000","0.00000","0.02708","0.00459"
"0.02750","1.46229","0.06245","0.70000","0.00000","0.02750","0.00466"
"0.02813","1.47844","0.06314","0.71000","0.00000","0.02813","0.00477"
"0.02854","1.49425","0.06382","0.72000","0.00000","0.02854","0.00484"
"0.02896","1.51214","0.06458","0.73000","0.00000","0.02896","0.00491"
"0.02937","1.52866","0.06529","0.74000","0.00000","0.02938","0.00498"
"0.02979","1.54771","0.06610","0.75000","0.00000","0.02979","0.00505"
"0.03021","1.56975","0.06704","0.76000","0.00000","0.03021","0.00512"
"0.03063","1.58572","0.06773","0.77000","0.00000","0.03063","0.00519"
"0.03104","1.59964","0.06832","0.78000","0.00000","0.03104","0.00526"
"0.03146","1.61588","0.06901","0.79000","0.00000","0.03146","0.00533"
"0.03208","1.63010","0.06962","0.80000","0.00000","0.03208","0.00544"
"0.03250","1.64391","0.07021","0.81000","0.00000","0.03250","0.00551"
"0.03292","1.65724","0.07078","0.82000","0.00000","0.03292","0.00558"
"0.03333","1.67144","0.07139","0.83000","0.00000","0.03333","0.00565"
"0.03375","1.68366","0.07191","0.84000","0.00000","0.03375","0.00572"
"0.03417","1.69893","0.07256","0.85000","0.00000","0.03417","0.00579"
"0.03458","1.71651","0.07331","0.86000","0.00000","0.03458","0.00586"
"0.03500","1.73369","0.07405","0.87000","0.00000","0.03500","0.00593"
"0.03542","1.75008","0.07474","0.88000","0.00000","0.03542","0.00600"
"0.03583","1.76670","0.07545","0.89000","0.00000","0.03583","0.00607"
"0.03625","1.78104","0.07607","0.90000","0.00000","0.03625","0.00614"
"0.03667","1.79369","0.07661","0.91000","0.00000","0.03667","0.00621"
"0.03708","1.80484","0.07708","0.92000","0.00000","0.03708","0.00629"
