Specimen properties : Specimen label,"GBI2S1R2"
Specimen properties : Anvil height,"6.00000",mm
Specimen properties : Diameter,"5.67000",mm
Test : Rate 1,"2.40000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00000","-0.03062","-0.00121","0.00000","0.00000","0.00000","0.00000"
"0.00000","-0.02660","-0.00105","0.01000","0.00000","0.00000","0.00000"
"0.00000","-0.02422","-0.00096","0.02000","0.00000","0.00000","0.00000"
"0.00000","-0.02215","-0.00088","0.03000","0.00000","0.00000","0.00000"
"0.00000","-0.01901","-0.00075","0.04000","0.00000","0.00000","0.00000"
"0.00000","-0.01768","-0.00070","0.05000","0.00000","0.00000","0.00000"
"0.00000","-0.01921","-0.00076","0.06000","0.00000","0.00000","0.00000"
"0.00000","-0.02249","-0.00089","0.07000","0.00000","0.00000","0.00000"
"0.00000","-0.02649","-0.00105","0.08000","0.00000","0.00000","0.00000"
"0.00042","-0.02777","-0.00110","0.09000","0.00000","0.00042","0.00007"
"0.00063","-0.02791","-0.00111","0.10000","0.00000","0.00063","0.00010"
"0.00063","-0.02255","-0.00089","0.11000","0.00000","0.00063","0.00010"
"0.00063","-0.01458","-0.00058","0.12000","0.00000","0.00063","0.00010"
"0.00063","-0.00809","-0.00032","0.13000","0.00000","0.00063","0.00010"
"0.00063","-0.00552","-0.00022","0.14000","0.00000","0.00063","0.00010"
"0.00083","-0.00185","-0.00007","0.15000","0.00000","0.00083","0.00014"
"0.00104","0.00410","0.00016","0.16000","0.00000","0.00104","0.00017"
"0.00125","0.00920","0.00036","0.17000","0.00000","0.00125","0.00021"
"0.00125","0.01374","0.00054","0.18000","0.00000","0.00125","0.00021"
"0.00146","0.01884","0.00075","0.19000","0.00000","0.00146","0.00024"
"0.00167","0.02482","0.00098","0.20000","0.00000","0.00167","0.00028"
"0.00188","0.03420","0.00135","0.21000","0.00000","0.00188","0.00031"
"0.00208","0.04784","0.00189","0.22000","0.00000","0.00208","0.00035"
"0.00250","0.06245","0.00247","0.23000","0.00000","0.00250","0.00042"
"0.00271","0.07712","0.00305","0.24000","0.00000","0.00271","0.00045"
"0.00313","0.09021","0.00357","0.25000","0.00000","0.00313","0.00052"
"0.00333","0.10034","0.00397","0.26000","0.00000","0.00333","0.00056"
"0.00375","0.11263","0.00446","0.27000","0.00000","0.00375","0.00063"
"0.00396","0.12755","0.00505","0.28000","0.00000","0.00396","0.00066"
"0.00438","0.14507","0.00575","0.29000","0.00000","0.00438","0.00073"
"0.00479","0.16612","0.00658","0.30000","0.00000","0.00479","0.00080"
"0.00521","0.18973","0.00751","0.31000","0.00000","0.00521","0.00087"
"0.00563","0.21404","0.00848","0.32000","0.00000","0.00563","0.00094"
"0.00604","0.23718","0.00939","0.33000","0.00000","0.00604","0.00101"
"0.00646","0.25873","0.01025","0.34000","0.00000","0.00646","0.00108"
"0.00708","0.28340","0.01122","0.35000","0.00000","0.00708","0.00118"
"0.00750","0.30698","0.01216","0.36000","0.00000","0.00750","0.00125"
"0.00812","0.33264","0.01317","0.37000","0.00000","0.00812","0.00135"
"0.00854","0.35840","0.01419","0.38000","0.00000","0.00854","0.00142"
"0.00917","0.38212","0.01513","0.39000","0.00000","0.00917","0.00153"
"0.00979","0.40456","0.01602","0.40000","0.00000","0.00979","0.00163"
"0.01021","0.43158","0.01709","0.41000","0.00000","0.01021","0.00170"
"0.01063","0.45803","0.01814","0.42000","0.00000","0.01063","0.00177"
"0.01125","0.48353","0.01915","0.43000","0.00000","0.01125","0.00188"
"0.01167","0.50960","0.02018","0.44000","0.00000","0.01167","0.00194"
"0.01229","0.53403","0.02115","0.45000","0.00000","0.01229","0.00205"
"0.01292","0.55480","0.02197","0.46000","0.00000","0.01292","0.00215"
"0.01333","0.57447","0.02275","0.47000","0.00000","0.01333","0.00222"
"0.01396","0.59415","0.02353","0.48000","0.00000","0.01396","0.00233"
"0.01458","0.61435","0.02433","0.49000","0.00000","0.01458","0.00243"
"0.01500","0.63400","0.02511","0.50000","0.00000","0.01500","0.00250"
"0.01562","0.65791","0.02606","0.51000","0.00000","0.01562","0.00260"
"0.01604","0.68407","0.02709","0.52000","0.00000","0.01604","0.00267"
"0.01667","0.71050","0.02814","0.53000","0.00000","0.01667","0.00278"
"0.01729","0.73794","0.02923","0.54000","0.00000","0.01729","0.00288"
"0.01792","0.75921","0.03007","0.55000","0.00000","0.01792","0.00299"
"0.01833","0.77798","0.03081","0.56000","0.00000","0.01833","0.00306"
"0.01896","0.80033","0.03170","0.57000","0.00000","0.01896","0.00316"
"0.01958","0.82519","0.03268","0.58000","0.00000","0.01958","0.00326"
"0.02021","0.84946","0.03364","0.59000","0.00000","0.02021","0.00337"
"0.02063","0.86929","0.03443","0.60000","0.00000","0.02063","0.00344"
"0.02125","0.88822","0.03518","0.61000","0.00000","0.02125","0.00354"
"0.02188","0.90910","0.03600","0.62000","0.00000","0.02188","0.00365"
"0.02250","0.92982","0.03682","0.63000","0.00000","0.02250","0.00375"
"0.02292","0.95019","0.03763","0.64000","0.00000","0.02292","0.00382"
"0.02354","0.97282","0.03853","0.65000","0.00000","0.02354","0.00392"
"0.02417","0.99237","0.03930","0.66000","0.00000","0.02417","0.00403"
"0.02458","1.01081","0.04003","0.67000","0.00000","0.02458","0.00410"
"0.02521","1.02759","0.04070","0.68000","0.00000","0.02521","0.00420"
"0.02562","1.04682","0.04146","0.69000","0.00000","0.02563","0.00427"
"0.02625","1.06618","0.04223","0.70000","0.00000","0.02625","0.00438"
"0.02688","1.08333","0.04290","0.71000","0.00000","0.02688","0.00448"
"0.02729","1.10006","0.04357","0.72000","0.00000","0.02729","0.00455"
"0.02792","1.11910","0.04432","0.73000","0.00000","0.02792","0.00465"
"0.02833","1.13764","0.04506","0.74000","0.00000","0.02833","0.00472"
"0.02875","1.15290","0.04566","0.75000","0.00000","0.02875","0.00479"
"0.02937","1.16339","0.04608","0.76000","0.00000","0.02937","0.00490"
"0.02979","1.17244","0.04643","0.77000","0.00000","0.02979","0.00497"
"0.03021","1.18262","0.04684","0.78000","0.00000","0.03021","0.00503"
"0.03083","1.19689","0.04740","0.79000","0.00000","0.03083","0.00514"
"0.03125","1.21009","0.04792","0.80000","0.00000","0.03125","0.00521"
"0.03167","1.22778","0.04863","0.81000","0.00000","0.03167","0.00528"
"0.03229","1.24648","0.04937","0.82000","0.00000","0.03229","0.00538"
"0.03271","1.26544","0.05012","0.83000","0.00000","0.03271","0.00545"
"0.03313","1.28530","0.05090","0.84000","0.00000","0.03313","0.00552"
"0.03354","1.30210","0.05157","0.85000","0.00000","0.03354","0.00559"
"0.03396","1.31178","0.05195","0.86000","0.00000","0.03396","0.00566"
"0.03458","1.31936","0.05225","0.87000","0.00000","0.03458","0.00576"
"0.03479","1.32881","0.05263","0.88000","0.00000","0.03479","0.00580"
"0.03542","1.33824","0.05300","0.89000","0.00000","0.03542","0.00590"
"0.03583","1.35310","0.05359","0.90000","0.00000","0.03583","0.00597"
"0.03625","1.37008","0.05426","0.91000","0.00000","0.03625","0.00604"
"0.03667","1.38667","0.05492","0.92000","0.00000","0.03667","0.00611"
"0.03708","1.40308","0.05557","0.93000","0.00000","0.03708","0.00618"
"0.03750","1.41266","0.05595","0.94000","0.00000","0.03750","0.00625"
"0.03792","1.41974","0.05623","0.95000","0.00000","0.03792","0.00632"
"0.03833","1.42625","0.05649","0.96000","0.00000","0.03833","0.00639"
"0.03875","1.43011","0.05664","0.97000","0.00000","0.03875","0.00646"
"0.03917","1.43770","0.05694","0.98000","0.00000","0.03917","0.00653"
"0.03958","1.44821","0.05736","0.99000","0.00000","0.03958","0.00660"
"0.04021","1.46116","0.05787","1.00000","0.00000","0.04021","0.00670"
"0.04042","1.47525","0.05843","1.01000","0.00000","0.04042","0.00674"
