Specimen properties : Specimen label,"GCI2S1R1"
Specimen properties : Anvil height,"6.00000",mm
Specimen properties : Diameter,"6.00000",mm
Test : Rate 1,"0.24000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00000","-0.00855","-0.00030","0.00000","0.00000","0.00000","0.00000"
"0.00000","-0.01166","-0.00041","0.01000","0.00000","0.00000","0.00000"
"0.00000","-0.01232","-0.00044","0.02000","0.00000","0.00000","0.00000"
"0.00000","-0.01149","-0.00041","0.03000","0.00000","0.00000","0.00000"
"0.00000","-0.01180","-0.00042","0.04000","0.00000","0.00000","0.00000"
"0.00000","-0.00887","-0.00031","0.05000","0.00000","0.00000","0.00000"
"0.00000","-0.00706","-0.00025","0.06000","0.00000","0.00000","0.00000"
"0.00000","-0.00925","-0.00033","0.07000","0.00000","0.00000","0.00000"
"0.00000","-0.01374","-0.00049","0.08000","0.00000","0.00000","0.00000"
"0.00000","-0.01480","-0.00052","0.09000","0.00000","0.00000","0.00000"
"0.00000","-0.01431","-0.00051","0.10000","0.00000","0.00000","0.00000"
"0.00000","-0.01050","-0.00037","0.11000","0.00000","0.00000","0.00000"
"0.00000","-0.00759","-0.00027","0.12000","0.00000","0.00000","0.00000"
"0.00000","-0.00566","-0.00020","0.13000","0.00000","0.00000","0.00000"
"0.00000","-0.00509","-0.00018","0.14000","0.00000","0.00000","0.00000"
"0.00000","-0.00443","-0.00016","0.15000","0.00000","0.00000","0.00000"
"0.00000","-0.00205","-0.00007","0.16000","0.00000","0.00000","0.00000"
"0.00000","0.00065","0.00002","0.17000","0.00000","0.00000","0.00000"
"0.00000","0.00462","0.00016","0.18000","0.00000","0.00000","0.00000"
"0.00000","0.00333","0.00012","0.19000","0.00000","0.00000","0.00000"
"0.00000","-0.00026","-0.00001","0.20000","0.00000","0.00000","0.00000"
"0.00000","-0.00284","-0.00010","0.21000","0.00000","0.00000","0.00000"
"0.00000","-0.00162","-0.00006","0.22000","0.00000","0.00000","0.00000"
"0.00042","0.00345","0.00012","0.23000","0.00000","0.00042","0.00007"
"0.00042","0.00960","0.00034","0.24000","0.00000","0.00042","0.00007"
"0.00063","0.01553","0.00055","0.25000","0.00000","0.00063","0.00010"
"0.00063","0.02437","0.00086","0.26000","0.00000","0.00063","0.00010"
