Specimen properties : Specimen label,"GCIS1R2"
Specimen properties : Anvil height,"5.98000",mm
Specimen properties : Diameter,"5.40000",mm
Test : Rate 1,"2.40000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"-0.00021","0.02553","0.00111","0.00000","0.00000","-0.00021","-0.00003"
"-0.00021","0.02286","0.00100","0.01000","0.00000","-0.00021","-0.00003"
"-0.00021","0.02087","0.00091","0.02000","0.00000","-0.00021","-0.00003"
"-0.00021","0.01938","0.00085","0.03000","0.00000","-0.00021","-0.00003"
"-0.00021","0.02098","0.00092","0.04000","0.00000","-0.00021","-0.00003"
"-0.00021","0.01613","0.00070","0.05000","0.00000","-0.00021","-0.00003"
"-0.00021","0.01234","0.00054","0.06000","0.00000","-0.00021","-0.00003"
"-0.00021","0.01445","0.00063","0.07000","0.00000","-0.00021","-0.00003"
"-0.00021","0.02002","0.00087","0.08000","0.00000","-0.00021","-0.00003"
"-0.00021","0.02133","0.00093","0.09000","0.00000","-0.00021","-0.00003"
"0.00021","0.02266","0.00099","0.10000","0.00000","0.00021","0.00003"
"0.00042","0.02566","0.00112","0.11000","0.00000","0.00042","0.00007"
"0.00042","0.03087","0.00135","0.12000","0.00000","0.00042","0.00007"
"0.00042","0.03663","0.00160","0.13000","0.00000","0.00042","0.00007"
"0.00042","0.04268","0.00186","0.14000","0.00000","0.00042","0.00007"
"0.00063","0.04825","0.00211","0.15000","0.00000","0.00063","0.00010"
"0.00083","0.05341","0.00233","0.16000","0.00000","0.00083","0.00014"
"0.00104","0.06436","0.00281","0.17000","0.00000","0.00104","0.00017"
"0.00146","0.07627","0.00333","0.18000","0.00000","0.00146","0.00024"
"0.00167","0.09247","0.00404","0.19000","0.00000","0.00167","0.00028"
"0.00208","0.11259","0.00492","0.20000","0.00000","0.00208","0.00035"
"0.00250","0.13529","0.00591","0.21000","0.00000","0.00250","0.00042"
"0.00292","0.16287","0.00711","0.22000","0.00000","0.00292","0.00049"
"0.00354","0.19474","0.00850","0.23000","0.00000","0.00354","0.00059"
"0.00396","0.23092","0.01008","0.24000","0.00000","0.00396","0.00066"
"0.00458","0.26632","0.01163","0.25000","0.00000","0.00458","0.00077"
"0.00521","0.29948","0.01308","0.26000","0.00000","0.00521","0.00087"
"0.00583","0.33330","0.01455","0.27000","0.00000","0.00583","0.00098"
"0.00625","0.36792","0.01606","0.28000","0.00000","0.00625","0.00105"
"0.00687","0.40444","0.01766","0.29000","0.00000","0.00687","0.00115"
"0.00750","0.44103","0.01926","0.30000","0.00000","0.00750","0.00125"
"0.00792","0.47858","0.02090","0.31000","0.00000","0.00792","0.00132"
"0.00875","0.51126","0.02232","0.32000","0.00000","0.00875","0.00146"
"0.00917","0.54484","0.02379","0.33000","0.00000","0.00917","0.00153"
"0.00979","0.58179","0.02540","0.34000","0.00000","0.00979","0.00164"
"0.01042","0.61437","0.02683","0.35000","0.00000","0.01042","0.00174"
"0.01104","0.64335","0.02809","0.36000","0.00000","0.01104","0.00185"
"0.01167","0.66890","0.02921","0.37000","0.00000","0.01167","0.00195"
"0.01229","0.69828","0.03049","0.38000","0.00000","0.01229","0.00206"
"0.01271","0.72684","0.03174","0.39000","0.00000","0.01271","0.00213"
"0.01333","0.75812","0.03310","0.40000","0.00000","0.01333","0.00223"
"0.01396","0.78889","0.03445","0.41000","0.00000","0.01396","0.00233"
"0.01458","0.81579","0.03562","0.42000","0.00000","0.01458","0.00244"
"0.01500","0.84504","0.03690","0.43000","0.00000","0.01500","0.00251"
"0.01562","0.87245","0.03809","0.44000","0.00000","0.01562","0.00261"
"0.01625","0.89951","0.03928","0.45000","0.00000","0.01625","0.00272"
"0.01667","0.92182","0.04025","0.46000","0.00000","0.01667","0.00279"
"0.01708","0.94036","0.04106","0.47000","0.00000","0.01708","0.00286"
"0.01771","0.95870","0.04186","0.48000","0.00000","0.01771","0.00296"
"0.01813","0.98018","0.04280","0.49000","0.00000","0.01813","0.00303"
"0.01875","1.00294","0.04379","0.50000","0.00000","0.01875","0.00314"
"0.01917","1.02681","0.04483","0.51000","0.00000","0.01917","0.00321"
"0.01979","1.04780","0.04575","0.52000","0.00000","0.01979","0.00331"
"0.02021","1.06652","0.04657","0.53000","0.00000","0.02021","0.00338"
"0.02063","1.08612","0.04742","0.54000","0.00000","0.02063","0.00345"
"0.02125","1.10744","0.04836","0.55000","0.00000","0.02125","0.00355"
"0.02146","1.12776","0.04924","0.56000","0.00000","0.02146","0.00359"
"0.02208","1.14457","0.04998","0.57000","0.00000","0.02208","0.00369"
"0.02250","1.15964","0.05063","0.58000","0.00000","0.02250","0.00376"
"0.02292","1.17423","0.05127","0.59000","0.00000","0.02292","0.00383"
"0.02333","1.19151","0.05203","0.60000","0.00000","0.02333","0.00390"
"0.02375","1.20949","0.05281","0.61000","0.00000","0.02375","0.00397"
"0.02417","1.22454","0.05347","0.62000","0.00000","0.02417","0.00404"
"0.02458","1.23970","0.05413","0.63000","0.00000","0.02458","0.00411"
"0.02500","1.25422","0.05476","0.64000","0.00000","0.02500","0.00418"
"0.02542","1.27222","0.05555","0.65000","0.00000","0.02542","0.00425"
"0.02583","1.28993","0.05632","0.66000","0.00000","0.02583","0.00432"
"0.02625","1.30188","0.05685","0.67000","0.00000","0.02625","0.00439"
"0.02667","1.31459","0.05740","0.68000","0.00000","0.02667","0.00446"
"0.02688","1.32798","0.05798","0.69000","0.00000","0.02688","0.00449"
"0.02729","1.34207","0.05860","0.70000","0.00000","0.02729","0.00456"
"0.02771","1.35598","0.05921","0.71000","0.00000","0.02771","0.00463"
"0.02813","1.36686","0.05968","0.72000","0.00000","0.02813","0.00470"
"0.02854","1.37896","0.06021","0.73000","0.00000","0.02854","0.00477"
"0.02896","1.39185","0.06077","0.74000","0.00000","0.02896","0.00484"
"0.02937","1.40760","0.06146","0.75000","0.00000","0.02937","0.00491"
"0.02979","1.42444","0.06220","0.76000","0.00000","0.02979","0.00498"
"0.03021","1.44046","0.06290","0.77000","0.00000","0.03021","0.00505"
"0.03063","1.45835","0.06368","0.78000","0.00000","0.03063","0.00512"
"0.03104","1.47569","0.06443","0.79000","0.00000","0.03104","0.00519"
"0.03146","1.49079","0.06509","0.80000","0.00000","0.03146","0.00526"
"0.03188","1.50526","0.06573","0.81000","0.00000","0.03188","0.00533"
