Specimen properties : Specimen label,"9"
Specimen properties : Anvil height,"6.36000",mm
Specimen properties : Diameter,"10.68000",mm
Test : Rate 1,"24.00000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00042","0.01671","0.00019","0.00000","0.00000","0.00042","0.00007"
"0.00063","0.01867","0.00021","0.01000","0.00000","0.00063","0.00010"
"0.00125","0.02808","0.00031","0.02000","0.00000","0.00125","0.00020"
"0.00250","0.05098","0.00057","0.03000","0.00000","0.00250","0.00039"
"0.00375","0.09908","0.00111","0.04000","0.00000","0.00375","0.00059"
"0.00542","0.18469","0.00206","0.05000","0.00000","0.00542","0.00085"
"0.00771","0.31221","0.00349","0.06000","0.00000","0.00771","0.00121"
"0.01063","0.49414","0.00552","0.07000","0.00000","0.01063","0.00167"
"0.01396","0.74360","0.00830","0.08000","0.00000","0.01396","0.00219"
"0.01792","1.06295","0.01187","0.09000","0.00000","0.01792","0.00282"
"0.02208","1.45765","0.01627","0.10000","0.00000","0.02208","0.00347"
"0.02667","1.93267","0.02157","0.11000","0.00000","0.02667","0.00419"
"0.03125","2.48899","0.02778","0.12000","0.00000","0.03125","0.00491"
"0.03604","3.11619","0.03478","0.13000","0.00000","0.03604","0.00567"
"0.04062","3.80711","0.04250","0.14000","0.00000","0.04062","0.00639"
"0.04542","4.54584","0.05074","0.15000","0.00000","0.04542","0.00714"
"0.05021","5.32360","0.05943","0.16000","0.00000","0.05021","0.00789"
"0.05479","6.13997","0.06854","0.17000","0.00000","0.05479","0.00862"
"0.05958","6.99137","0.07804","0.18000","0.00000","0.05958","0.00937"
"0.06438","7.86546","0.08780","0.19000","0.00000","0.06438","0.01012"
"0.06896","8.74291","0.09759","0.20000","0.00000","0.06896","0.01084"
"0.07354","9.60441","0.10721","0.21000","0.00000","0.07354","0.01156"
"0.07813","10.43694","0.11650","0.22000","0.00000","0.07813","0.01228"
"0.08271","11.22967","0.12535","0.23000","0.00000","0.08271","0.01300"
"0.08729","11.98662","0.13380","0.24000","0.00000","0.08729","0.01373"
"0.09188","12.71441","0.14193","0.25000","0.00000","0.09188","0.01445"
"0.09646","13.42531","0.14986","0.26000","0.00000","0.09646","0.01517"
"0.10083","14.12319","0.15765","0.27000","0.00000","0.10083","0.01585"
"0.10542","14.81233","0.16534","0.28000","0.00000","0.10542","0.01657"
"0.10979","15.48883","0.17290","0.29000","0.00000","0.10979","0.01726"
"0.11396","16.14820","0.18026","0.30000","0.00000","0.11396","0.01792"
"0.11833","16.78263","0.18734","0.31000","0.00000","0.11833","0.01861"
"0.12271","17.40332","0.19427","0.32000","0.00000","0.12271","0.01929"
"0.12729","18.01226","0.20106","0.33000","0.00000","0.12729","0.02001"
"0.13167","18.61576","0.20780","0.34000","0.00000","0.13167","0.02070"
"0.13583","19.21810","0.21453","0.35000","0.00000","0.13583","0.02136"
"0.14021","19.82709","0.22132","0.36000","0.00000","0.14021","0.02205"
"0.14438","20.44136","0.22818","0.37000","0.00000","0.14438","0.02270"
"0.14875","21.03826","0.23484","0.38000","0.00000","0.14875","0.02339"
"0.15292","21.61901","0.24133","0.39000","0.00000","0.15292","0.02404"
"0.15708","22.18773","0.24767","0.40000","0.00000","0.15708","0.02470"
"0.16125","22.74176","0.25386","0.41000","0.00000","0.16125","0.02535"
"0.16542","23.28733","0.25995","0.42000","0.00000","0.16542","0.02601"
"0.16979","23.82996","0.26601","0.43000","0.00000","0.16979","0.02670"
"0.17417","24.38007","0.27215","0.44000","0.00000","0.17417","0.02738"
"0.17813","24.93612","0.27835","0.45000","0.00000","0.17813","0.02801"
"0.18229","25.49124","0.28455","0.46000","0.00000","0.18229","0.02866"
"0.18646","26.03709","0.29064","0.47000","0.00000","0.18646","0.02932"
"0.19063","26.57336","0.29663","0.48000","0.00000","0.19063","0.02997"
"0.19458","27.09782","0.30248","0.49000","0.00000","0.19458","0.03059"
