Specimen properties : Specimen label,"specimen 1"
Specimen properties : Anvil height,"6.38000",mm
Specimen properties : Diameter,"10.11000",mm
Test : Rate 1,"0.24000",mm/min
Test : Start of hold value,"20.00000",%
Test : Duration,"120.00000",s

Extension,Load,Compressive stress,Time,PIP count,Compressive extension,Compressive strain (Extension)
(mm),(N),(MPa),(s),,(mm),(mm/mm)
"0.00000","-0.00072","-0.00001","0.00000","0.00000","0.00000","0.00000"
"0.00000","0.00046","0.00001","0.01000","0.00000","0.00000","0.00000"
"0.00000","-0.00303","-0.00004","0.02000","0.00000","0.00000","0.00000"
"0.00000","-0.00044","-0.00001","0.03000","0.00000","0.00000","0.00000"
"0.00000","0.00280","0.00003","0.04000","0.00000","0.00000","0.00000"
"0.00000","0.00041","0.00001","0.05000","0.00000","0.00000","0.00000"
"0.00000","-0.00135","-0.00002","0.06000","0.00000","0.00000","0.00000"
"0.00000","-0.00242","-0.00003","0.07000","0.00000","0.00000","0.00000"
"0.00000","-0.00365","-0.00005","0.08000","0.00000","0.00000","0.00000"
"0.00000","-0.00540","-0.00007","0.09000","0.00000","0.00000","0.00000"
"0.00000","-0.00394","-0.00005","0.10000","0.00000","0.00000","0.00000"
"0.00000","-0.00435","-0.00005","0.11000","0.00000","0.00000","0.00000"
"0.00000","-0.00537","-0.00007","0.12000","0.00000","0.00000","0.00000"
"0.00000","-0.00644","-0.00008","0.13000","0.00000","0.00000","0.00000"
"0.00000","-0.00821","-0.00010","0.14000","0.00000","0.00000","0.00000"
"0.00000","-0.00845","-0.00011","0.15000","0.00000","0.00000","0.00000"
"0.00000","-0.00743","-0.00009","0.16000","0.00000","0.00000","0.00000"
"0.00000","-0.00492","-0.00006","0.17000","0.00000","0.00000","0.00000"
"0.00000","-0.00201","-0.00003","0.18000","0.00000","0.00000","0.00000"
"0.00000","-0.00380","-0.00005","0.19000","0.00000","0.00000","0.00000"
"0.00000","-0.00615","-0.00008","0.20000","0.00000","0.00000","0.00000"
